date,ov1,ov2,ov3,ov4,ov5,ov6,ov7,ov8,ov9,sv1,sv2,sv3,sv4,sv5,sv6
0,0.64244599,0.515952711,0.25181125,0.880666667,0.448664465,0.383201096,0.532620423,0.822140011,0.799796156,-14.3982,-14.48,161.8,380,84.708,412.582
0,0.548684042,0.499588179,0.212987683,0.915333333,0.392967192,0.336747481,0.532493495,0.822140011,0.799796156,-14.322,-14.5142,152.4,376.2,84.78,412.24
0,0.583607215,0.514084275,0.217777578,0.921666667,0.351277868,0.23855619,0.532874278,0.822140011,0.799796156,-14.2868,-14.56,137.8,379.4,84.844,412.4786
0,0.616695926,0.521332323,0.222287035,0.892666667,0.31702012,0.178670456,0.532229062,0.822140011,0.799796156,-14.2466,-14.5864,120.6,389.6,84.912,411.5456
0,0.705544514,0.528580371,0.226796491,0.861,0.281856081,0.139516296,0.532229062,0.822140011,0.799796156,-14.223,-14.6002,107.6,403.2,84.964,411.29
0,0.780042614,0.506045531,0.218439414,0.822666667,0.352184158,0.18734397,0.531456919,0.822140011,0.799796156,-14.2484,-14.6052,99.4,411.4,84.992,411.3702
0,0.967370105,0.481896353,0.209398066,0.776333333,0.422693493,0.197823234,0.531710774,0.822140011,0.799796156,-14.3022,-14.612,94.6,412.2,84.908,412.2148
0,0.905714035,0.456923533,0.201052206,0.739,0.491934022,0.306493788,0.53093863,0.822140011,0.799796156,-14.3168,-14.6014,91.8,411,84.844,411.9936
0,0.893198812,0.439231707,0.21708209,0.695666667,0.554468008,0.342283137,0.53054727,0.822140011,0.799796156,-14.3364,-14.5368,89.8,397.2,84.76,412.8684
0,0.880683588,0.421539881,0.233111974,0.652333333,0.617001994,0.378072487,0.53015591,0.822140011,0.799796156,-14.356,-14.4722,87.8,383.4,84.668,412.5612
0,0.805791873,0.423154219,0.257633545,0.62,0.609026645,0.396514806,0.53015591,0.822140011,0.799796156,-14.3598,-14.4154,87,371.6,84.584,412.054
0,0.732210602,0.425987547,0.281874677,0.602333333,0.600870038,0.403145753,0.529637621,0.822140011,0.799796156,-14.3598,-14.3558,86.2,361.2,84.58,410.5758
0,0.743479776,0.428030178,0.306519642,0.566,0.593257205,0.353512329,0.529637621,0.822140011,0.799796156,-14.3492,-14.3098,84.4,346.8,84.532,411.2162
0,0.748983963,0.427206536,0.304736051,0.55,0.601776328,0.367119584,0.530409765,0.822140011,0.799796156,-14.3444,-14.2728,84.2,352,84.508,410.8284
0,0.763137242,0.424373209,0.303782559,0.541,0.611382998,0.385186939,0.530801125,0.822140011,0.799796156,-14.3308,-14.2632,84.8,364.8,84.532,411.179
0,0.778338553,0.423154219,0.310086824,0.528666667,0.619720863,0.407467709,0.531319414,0.822140011,0.799796156,-14.3104,-14.2642,86.2,378.2,84.512,411.8434
0,0.777552126,0.421144533,0.31556099,0.505666667,0.629327533,0.430113575,0.531710774,0.822140011,0.799796156,-14.284,-14.2604,88,391.6,84.456,411.8922
0,0.824597711,0.417520509,0.320496713,0.491333333,0.63748414,0.439990922,0.531710774,0.822140011,0.799796156,-14.2516,-14.237,90,408,84.42,409.8042
0,0.839667817,0.416334464,0.327350638,0.470666667,0.637121624,0.476737416,0.531203063,0.822140011,0.799796156,-14.236,-14.2868,91.6,417,84.432,408.3738
0,0.828921854,0.418772444,0.334462567,0.444,0.636215334,0.512280079,0.531456919,0.822140011,0.799796156,-14.2408,-14.3102,93.2,417.6,84.412,407.1944
0,0.809396399,0.418377096,0.333363247,0.428,0.635309045,0.542405494,0.531203063,0.822140011,0.799796156,-14.2622,-14.3494,95,414.2,84.448,405.5724
0,0.784956779,0.417981748,0.333094026,0.425333333,0.63222766,0.572165813,0.531203063,0.822140011,0.799796156,-14.2906,-14.4022,97.4,407.2,84.556,404.7678
0,0.702267599,0.418772444,0.333228636,0.437,0.63222766,0.61156666,0.531721351,0.822140011,0.799796156,-14.3268,-14.4736,102.2,398.6,84.892,403.1998
0,0.657974108,0.419167792,0.333363247,0.464,0.632408918,0.592532291,0.531203063,0.822140011,0.799796156,-14.3442,-14.5302,109.4,391.8,85.068,403.3232
0,0.651487088,0.417948802,0.333363247,0.490333333,0.631502628,0.581687931,0.530684775,0.822140011,0.799796156,-14.3492,-14.5712,118.8,391.6,85.256,403.0126
0,0.646376518,0.41392943,0.331994705,0.503,0.64183433,0.580000592,0.530293415,0.822140011,0.799796156,-14.3434,-14.579,129.6,396.2,85.4,403.2634
0,0.670292121,0.41392943,0.331579656,0.498333333,0.653797354,0.580720918,0.53054727,0.822140011,0.799796156,-14.3444,-14.5838,138.8,404.2,85.472,403.7888
0,0.717599312,0.411129048,0.330760774,0.479666667,0.66376654,0.581559654,0.530028982,0.822140011,0.799796156,-14.361,-14.5778,142.6,414,85.288,405.9138
0,0.770279484,0.408328666,0.329111794,0.451666667,0.674098242,0.612523805,0.530801125,0.822140011,0.799796156,-14.3728,-14.573,142.2,421.8,85.152,406.664
0,0.747674324,0.407109676,0.317198753,0.437666667,0.657422512,0.631321354,0.53093863,0.822140011,0.799796156,-14.3844,-14.5642,142,422.8,84.972,408.3196
0,0.731424174,0.409910058,0.307607745,0.43,0.630777597,0.642165714,0.531329991,0.822140011,0.799796156,-14.397,-14.5622,139.4,422.4,84.828,409.3854
0,0.707049754,0.409481765,0.297063245,0.437,0.603407649,0.65060241,0.530949208,0.822140011,0.799796156,-14.4018,-14.5544,137.4,422.2,84.74,410.114
0,0.677957575,0.410667809,0.287068405,0.451666667,0.576400218,0.659759431,0.531594424,0.822140011,0.799796156,-14.393,-14.5604,138.6,421,84.708,410.6132
0,0.634188905,0.413072843,0.278991766,0.461333333,0.548849012,0.657588585,0.531467496,0.822140011,0.799796156,-14.391,-14.5476,138.8,416.8,84.76,411.234
0,0.639824297,0.413501137,0.279272205,0.448666667,0.548667754,0.652891665,0.531467496,0.822140011,0.799796156,-14.394,-14.5524,132.8,410.6,84.848,411.6832
0,0.65856413,0.413105789,0.279687255,0.433333333,0.547580207,0.64915189,0.531329991,0.822140011,0.799796156,-14.396,-14.569,125.4,403.2,84.916,412.6026
0,0.669178888,0.412315092,0.280921185,0.416,0.547580207,0.64445497,0.531583846,0.822140011,0.799796156,-14.397,-14.5612,118.6,401.4,84.948,413.7202
0,0.677959185,0.414720127,0.281874677,0.399666667,0.548486496,0.639274543,0.531456919,0.822140011,0.799796156,-14.399,-14.527,113.2,402.6,84.932,415.267
0,0.689229164,0.414720127,0.281740067,0.385666667,0.54993656,0.636511649,0.531837702,0.822140011,0.799796156,-14.3922,-14.487,110.8,406.4,84.852,417.138
0,0.697550645,0.414720127,0.282558948,0.380666667,0.547580207,0.637231975,0.531192486,0.822140011,0.799796156,-14.3824,-14.4362,110,414,84.712,419.8822
0,0.696174196,0.416334464,0.28337783,0.382666667,0.549211528,0.636511649,0.530684775,0.822140011,0.799796156,-14.3814,-14.3648,108.4,423,84.56,421.463
0,0.709999863,0.419134847,0.284746371,0.384,0.539061084,0.622776117,0.53043092,0.822140011,0.799796156,-14.3844,-14.3062,105.2,426.2,84.388,422.7416
0,0.717010095,0.421968174,0.286664573,0.382333333,0.52800435,0.608320259,0.530557847,0.822140011,0.799796156,-14.3854,-14.2572,100.8,426.8,84.22,423.4246
0,0.712029924,0.424373209,0.288033114,0.379333333,0.517128874,0.592897388,0.530050136,0.822140011,0.799796156,-14.3982,-14.2104,96.6,427.2,84.076,423.4942
0,0.718582145,0.427568939,0.288986606,0.365333333,0.510059815,0.577592927,0.530557847,0.822140011,0.799796156,-14.405,-14.1744,93.6,426.6,83.984,422.2122
0,0.729918129,0.431192963,0.290355148,0.344666667,0.499184339,0.562416743,0.531203063,0.822140011,0.799796156,-14.4002,-14.1422,93.2,424.6,83.924,421.3724
0,0.731490179,0.438441011,0.292138739,0.336666667,0.490483959,0.560847814,0.530811703,0.822140011,0.799796156,-14.3874,-14.1402,93.6,423.4,83.916,420.1456
0,0.727690053,0.440846045,0.293641891,0.331666667,0.479970999,0.560847814,0.530166487,0.822140011,0.799796156,-14.363,-14.1384,93.6,423.8,83.948,418.9974
0,0.688704343,0.444865417,0.296513584,0.33,0.472358166,0.561203043,0.530293415,0.822140011,0.799796156,-14.32,-14.1638,93,423.4,84.012,417.8678
0,0.643100408,0.452113465,0.301168869,0.339,0.462932753,0.570123245,0.530557847,0.822140011,0.799796156,-14.2506,-14.1774,93.2,423.2,84.084,416.8596
0,0.604245098,0.446875103,0.298431786,0.352,0.489577669,0.599400057,0.530811703,0.822140011,0.799796156,-14.19,-14.195,93.4,426.8,84.164,416.2426
0,0.589174992,0.432411953,0.292542571,0.358,0.526010513,0.619884945,0.531710774,0.822140011,0.799796156,-14.196,-14.2106,93.6,430.2,84.256,416.2592
0,0.59349994,0.41956314,0.285969084,0.371,0.563530904,0.638435807,0.531975207,0.822140011,0.799796156,-14.2614,-14.3034,93.8,431.2,84.332,416.3076
