date,PERIOD,P,I,N,A,IBP,D10,D30,D50,D70,D90,FBP,DEN,DS,FEED,DS_RATIO,COT,CIT,CIP,COP,H2,CH4,C2H4,C2H6,C3H6,C3H8
2020/1/29 7:00,0.795670539,38.38188769,39.85507336,15.25271527,6.500323415,34.64749393,63.20735709,84.26729012,102.0499781,123.3617156,171.6590274,209.783356,712.3675456,21.33146827,38037.11088,0.560806743,817.9798194,592.3242534,197.3794533,46.16247638,13.7767157,27.50543875,32.31784013,3.72570325,10.7105436,0
2020/1/29 8:00,0.796198522,38.39146957,39.82626057,15.26450345,6.507766302,34.63913383,63.21972224,84.29520798,102.0646119,123.3574122,171.7753113,209.7486089,712.3714844,21.32962358,38036.80606,0.56076274,818.0087052,592.2709421,197.4040722,46.16734153,13.77632495,27.52276611,32.33490369,3.734511284,10.70755562,0
2020/1/29 9:00,0.796726505,38.38818684,39.83413067,15.26345024,6.504232367,34.64443766,63.23245265,84.32255732,102.0855878,123.3883129,171.8503057,209.7593966,712.3813751,21.33049348,38036.1028,0.560795978,818.0364052,592.4422614,197.4553018,46.1006226,13.80778349,27.55450914,32.35100829,3.736921557,10.6932435,0
2020/1/29 10:00,0.797254488,38.3973746,39.83191064,15.27006305,6.490651647,34.67533277,63.24982872,84.35825526,102.1264189,123.4742554,172.0488162,209.7936335,712.4000356,21.33962369,38036.10866,0.561035933,817.9159706,592.3368654,197.5552868,46.22589184,13.78568641,27.52021001,32.31448638,3.745476336,10.68393562,0
2020/1/29 11:00,0.797782471,38.40185935,39.84926294,15.27028899,6.468589433,34.69996243,63.26667525,84.40335426,102.1692928,123.528175,172.2576553,209.8148834,712.4181193,21.32498791,38035.19289,0.560664645,818.0059485,592.4248067,197.4248876,46.25747339,13.75297713,27.47417007,32.26479967,3.733426609,10.6705956,0
2020/1/29 12:00,0.798310454,38.42856038,39.8398866,15.27141643,6.450136749,34.71713619,63.27668292,84.45320638,102.2086269,123.5841647,172.4509755,209.8313235,712.43585,21.32341429,38036.60731,0.560602425,818.0494473,592.3471384,197.7210364,46.53796308,13.73851452,27.45101957,32.22922518,3.74049486,10.65602681,0
2020/1/29 13:00,0.798838437,38.43305651,39.83061574,15.27894001,6.447387568,34.73804735,63.29175104,84.50564117,102.2517941,123.6393836,172.6875114,209.8356389,712.456308,21.32111884,38034.76144,0.56056928,817.9827349,592.3306507,197.4733504,46.62209519,13.71310832,27.41271161,32.19091336,3.742060469,10.62432038,0
2020/1/29 14:00,0.79936642,38.44466915,39.83224068,15.28020326,6.43288637,34.75743478,63.30744788,84.56667531,102.2990309,123.7038553,172.9392657,209.8433151,712.4791504,21.32156465,38036.74079,0.56055183,818.0737135,592.4540105,197.460158,46.69450837,13.69101277,27.36378179,32.12363537,3.743618897,10.56805689,0
2020/1/29 15:00,0.799894403,38.47648519,39.80891469,15.28582706,6.418772936,34.7836436,63.32049052,84.63708013,102.3562099,123.7811601,173.2404546,209.8440872,712.5075033,21.3252454,38034.39698,0.560683147,818.4303529,592.4546713,197.7938713,47.36230481,13.70941383,27.37494418,32.10968948,3.738883766,10.56538382,0
2020/1/29 16:00,0.800422386,38.4600804,39.81912613,15.2894702,6.421323466,34.79627094,63.32278881,84.70260162,102.4053261,123.8177845,173.4492966,209.82491,712.5298625,21.3315834,38037.69006,0.560801231,817.5932142,591.5995835,197.6209476,47.02285134,13.69043171,27.34241961,32.07628466,3.754762325,10.56878274,0
2020/1/29 17:00,0.80095037,38.48326022,39.8153218,15.28645253,6.404965432,34.79530525,63.32178771,84.77018814,102.4463044,123.8159517,173.6475805,209.7932915,712.5474477,21.32532354,38035.95158,0.560662285,817.9864,592.4763169,197.8982152,46.55594564,13.71755171,27.38954254,32.14877004,3.750650914,10.55561259,0
2020/1/29 18:00,0.801478353,38.4932298,39.79458637,15.2944475,6.407736556,34.78023643,63.31375675,84.8230278,102.4756592,123.7851865,173.8261353,209.7487317,712.5560659,21.32786098,38036.58457,0.560719666,818.0209729,592.5012155,197.5387672,46.49249678,13.71192378,27.43500615,32.21044096,3.759115495,10.55047794,0
2020/1/29 19:00,0.802006336,38.49929396,39.79611963,15.29307149,6.40151422,34.77110952,63.31364562,84.86031329,102.4928806,123.7737751,173.9015078,209.7044047,712.5642293,21.32559561,38035.42589,0.560677187,817.903777,592.7294973,197.6157167,46.27518543,13.70408614,27.435702,32.22646818,3.741253343,10.5627116,0
2020/1/29 20:00,0.802534319,38.50299988,39.78817596,15.29542398,6.403399809,34.76523768,63.31154296,84.88994675,102.5122154,123.7651196,173.9281822,209.6820193,712.5713247,21.32730252,38033.85126,0.560745278,818.0648072,592.6963154,197.7165704,46.22321573,13.70437439,27.44477714,32.24145272,3.725514932,10.56483704,0
2020/1/29 21:00,0.803062302,38.51842442,39.76810735,15.30237036,6.401097218,34.75933889,63.30055745,84.91683197,102.5215238,123.7536701,174.0755107,209.656677,712.5776042,21.32442648,38033.08847,0.560680905,817.966613,592.3999996,197.5881943,46.19519085,13.7098845,27.45181812,32.25859708,3.723718681,10.56849158,0
2020/1/29 22:00,0.803590285,38.51607831,39.76583525,15.30600395,6.402083882,34.75424824,63.29522883,84.93755163,102.5269855,123.7438174,174.1284836,209.6194522,712.5820557,21.33283664,38035.17848,0.560871212,818.0732974,592.676746,197.7094294,46.22113817,13.67868063,27.42473977,32.22397593,3.720692264,10.54255299,0
2020/1/29 23:00,0.804118268,38.53137366,39.7536485,15.29407802,6.410899925,34.75186424,63.29553426,84.94140167,102.5097961,123.7291284,174.2559937,209.6223442,712.5790639,21.32830793,38036.92228,0.560726438,817.8895574,592.5204775,197.5735543,46.23663925,13.6975057,27.4241987,32.25194526,3.718916006,10.51823899,0
2020/1/30 0:00,0.804646251,38.58815676,39.70401198,15.27183681,6.425994945,34.7487826,63.28314616,84.94431712,102.4978606,123.7071639,174.305663,209.6327662,712.5751994,21.32670423,38037.09044,0.560681797,817.9952343,592.5564509,197.5368378,46.20306737,13.70064331,27.42888347,32.26543052,3.717999614,10.52566428,0
2020/1/30 1:00,0.805174234,38.59154739,39.71564452,15.26451645,6.418292077,34.74569098,63.28341401,84.95176595,102.4933381,123.6999774,174.3460289,209.6353551,712.5763428,21.3255834,38036.30077,0.56066397,817.9344314,592.5647652,197.5854505,46.21619171,13.71286885,27.42337341,32.26148671,3.71923663,10.51271192,0
2020/1/30 2:00,0.805702218,38.61088092,39.69147402,15.26896834,6.41867613,34.735783,63.2788168,84.95536677,102.4916224,123.6862417,174.3831668,209.619411,712.5744731,21.32813397,38035.30897,0.560745648,817.8819862,592.5530332,197.5576386,46.06612483,13.68230391,27.38148577,32.23819193,3.705851825,10.49440951,0
2020/1/30 3:00,0.806230201,38.62490648,39.68943837,15.26215909,6.413496224,34.71089827,63.26712964,84.94993985,102.4759588,123.6364468,174.3123797,209.6072601,712.5666189,21.30962865,38036.573,0.560240499,817.9623568,592.620386,197.426064,46.06632933,13.72083171,27.43016269,32.29424787,3.71517154,10.50125122,0
2020/1/30 4:00,0.806758184,38.63855139,39.67564532,15.26945612,6.406347251,34.68967094,63.26647193,84.94991137,102.4638784,123.5981609,174.2969554,209.5823382,712.5614431,21.30708417,38034.93361,0.560197749,817.947641,592.8004943,197.5029717,46.20517788,13.7801384,27.51316936,32.3691146,3.711830631,10.50621271,0
2020/1/30 5:00,0.807286167,38.65785643,39.66115475,15.26726419,6.403724941,34.6897707,63.27246106,84.94876315,102.4655959,123.6032415,174.2895757,209.5836047,712.5619191,21.31150519,38033.84761,0.560329983,817.9586772,593.1524676,197.7655116,46.31678499,13.76557923,27.50240922,32.35722367,3.712800675,10.49392066,0
2020/1/30 6:00,0.80781415,38.65890242,39.66958179,15.26109316,6.400421596,34.67934806,63.2645518,84.93580742,102.4552685,123.5759015,174.159537,209.5822052,712.5551208,21.31329233,38034.0472,0.560374031,818.0374592,593.1794014,197.7246914,46.20869878,13.72250329,27.48340658,32.35131516,3.710871273,10.50148221,0
2020/1/30 7:00,0.808342133,38.67221622,39.67379411,15.26684451,6.377145791,34.6667745,63.26915067,84.92635778,102.446588,123.5531286,174.1047417,209.5757604,712.5481557,21.31966827,38033.42994,0.560550766,818.0088435,592.8828545,197.6731686,46.47295866,13.45310314,27.54322881,32.49349433,3.816159566,10.94803431,0.309543553
2020/1/30 8:00,0.808870116,38.68224106,39.65040932,15.26628583,6.391063865,34.66130021,63.27255141,84.91777662,102.4385981,123.5531087,174.0431007,209.5709607,712.5468292,21.32205882,38034.69913,0.560594912,817.9261797,592.9262464,197.4870243,46.42948443,13.76643426,27.51328872,32.39651333,3.71365448,11.04945849,0.339874422
